"date","Hyundai SANTA-FE","Lexus NX","Mazda CX-30","Mazda CX-5","Toyota RAV4"
"2026-04-01 06:01:07","77350","113029","79101","84574","102173"
"2026-03-31 06:01:11","77350","112362","78792","84190","101879"
"2025-03-11 06:01:36","100724","126055","89140","101622","107556"
"2025-03-10 06:01:36","98839","126513","90012","101728","107559"
"2025-03-09 06:01:26","98839","126513","90809","97539","108190"
"2025-03-08 06:01:25","98839","125965","90215","94529","108396"
"2025-03-07 06:01:31","98839","127061","89415","96238","108537"
"2025-03-06 06:01:25","98839","128026","88837","98871","109259"
"2025-03-05 06:01:34","98839","128065","89087","97182","106999"
"2025-03-04 06:01:29","98839","128048","89334","100659","109622"
"2025-03-03 06:01:27","98839","128610","90052","97819","109971"
"2025-03-02 06:01:32","98839","128050","89652","95942","108315"
"2025-03-01 06:01:23","98839","128511","89983","98483","108163"
"2025-02-28 06:01:30","98839","127846","90739","98570","107803"
"2025-02-27 06:01:26","98839","128144","91177","99771","108475"
"2025-02-26 06:01:32","98839","127229","90955","97023","111445"
"2025-02-25 06:01:42","98839","125539","90955","96386","108964"
"2025-02-24 06:01:29","100049","126058","89996","95945","111191"
"2025-02-23 06:01:25","102066","126058","89999","96524","111887"
"2025-02-22 06:01:29","102066","125916","89709","95634","112778"
"2025-02-21 06:01:31","102466","126134","90618","96063","114629"
"2025-02-20 06:01:27","102466","126495","90073","96563","116087"
"2025-02-19 06:01:23","101200","127120","89755","94658","116577"
"2025-02-18 06:01:27","92500","125700","90446","95848","115214"
"2025-02-17 06:01:22","92500","125672","90011","97274","114045"
"2025-02-16 06:01:28","103749","118977","89947","96446","112709"
"2025-02-15 06:01:26","103749","125858","89912","96522","110073"
"2025-02-14 06:01:26","103749","125189","90096","94705","110817"
"2025-02-13 06:01:21","103749","124166","89577","95227","114702"
"2025-02-12 06:01:24","103749","124500","89202","96405","110483"
"2025-02-11 06:01:29","103749","122294","91171","95331","115267"
"2025-02-10 06:01:32","103749","123221","90412","95309","115909"
"2025-02-09 06:01:31","103749","122535","90958","94774","115333"
"2025-02-08 06:01:27","114999","122652","91143","97073","115418"
"2025-02-07 06:01:35","114999","122890","91449","96359","115155"
"2025-02-06 06:01:32","114999","122386","91349","98321","114739"
"2025-02-05 06:01:29","105999","123817","91768","98084","114717"
"2025-02-04 06:01:31","101999","124046","91874","95309","113905"
"2025-02-03 06:01:24","93666","124063","92434","97763","114662"
"2025-02-02 06:01:26","93666","124273","92678","96631","115292"
"2025-02-01 06:01:29","83000","123530","92574","96695","116824"
"2025-01-31 06:01:23","86666","124262","91653","97408","116523"
